category,part_number,opening_stock,quantity_used,balance,side,part_name,cost_part,inclusive,truck_brand,shelf,store
DOOR HANDLE,BZ94-051-2,1,0,#VALUE!,R/H,OUTER DOOR HANDLE , R209.00 ,#VALUE!,,1(5),A
DOOR HANDLE,BZ94-051-1,8,0,#VALUE!,L/H,OUTER DOOR HANDLE , R209.00 ,#VALUE!,,1(5),A
DOOR HANDLE,152025,1,0,#VALUE!,L/H, OUTER DOOR HANDLE  , R882.98 ,#VALUE!, SCANIA ,,
DOOR HANDLE,S050021AG,1,,1,L/H, OUTER DOOR HANDLE  ,#REF!, R-   , DAF ,1(5),A
DOOR HANDLE,464970,4,0,1,BOTH, DOOR HANDLE OUTER  LOOK CYLINDER , R650.48 , R240.35 ,MULTIBRAND ,4(4),A
DOOR HANDLE,463428,1,0,8,LH,DOOR HANDLE , R958.26 , R240.35 ,AXOR 942,4(4),A
DOOR HANDLE,152026,1,0,1,, OUTER DOOR HANDLE  , R881.40 , R1 015.43 , SCANIA ,,
DOOR HANDLE,S050022AG,1,,1,L/H, DOOR HANDLE  , R4 989.99 ,#REF!, DAF ,#REF!,#REF!
DOOR HANDLE,S050021AG,1,,1,R/H, DOOR HANDLE  , R498.99 , R748.05 , DAF ,#REF!,#REF!
DOOR HANDLE,272117,1,,1,L/H, DOOR HANDLE , R1 034.36 , R1 102.00 , VOLVO ,#REF!,#REF!
DOOR HANDLE,272118,1,,1,R/H, DOOR HANDLE , R1 035.88 , R1 013.61 , VOLVO ,#REF!,#REF!
DOOR LOCK,MA1647400500,1,,1,N, DOOR LOCK , R7 182.43 , R5 738.49 ,#VALUE!,#REF!,#REF!
DOOR LOCK,SACSCA0750AG,1,,1,R/H, DOOR LOCK , R703.66 , R573.84 , SCANIA ,#REF!,#REF!
DOOR HINGE,SA2F0065,1,,1,R/H, DOOR HINGE LOWER , R849.25 , R1 189.51 , MAN ,#REF!,#REF!
DOOR HINGE,SA2F0063,1,,1,R/H, DOOR HINGE UPPER , R3 028.85 , R1 191.26 , MAN ,#REF!,#REF!
DOOR HINGE,BZ01-059-L2,1,,1,R/H, DOOR HINGE , R2 650.00 , R8 259.79 , ACTROS MP4 ,#REF!,#REF!
MIRROR,464834,2,0,#VALUE!,BOTH, MIRROR GLASS HEATED  , R1 425.18 , R809.21 ,MERC-AXOR 944,4(2),A
MIRROR,464835,1,,1,#REF!, MIRROR GLASS ,#REF!, R976.64 ,#VALUE!,4(2),A
MIRROR,M38C,1,0,#VALUE!,,SIDE MIRROR, R342.38 , R3 483.18 ,,4(2),A
MIRROR,18/05/2020,1,0,#VALUE!,,, R2 478.74 , R3 047.50 ,,4(2),A
MIRROR,562174,2,1,2,N/A, WIDEV VIEW MIRROR COVER  , R684.11 , R1 638.96 ,DAF,7(1),A
MIRROR,463947,1,,1,L/H, MAIN MIRROR HEATED , R2 205.17 ,#REF!, BENZ-ACTROS ,#REF!,#REF!
MIRROR,,2,,2,#REF!,DOOR MIRROW, R216.48 , R393.74 ,#VALUE!,#REF!,#REF!
MIRROR,SACMER0023AG,1,,1,#REF!,MIRROR COMPLETE, R2 368.04 , R2 850.55 , MERCEDES  ,#REF!,#REF!
