customer,order_number,product,offloading_point,loading_point,status
ENGEN,439290897,ADO,MASERU,WENTWORTH,
ENGEN,439290881,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439766753,ULP95,MASERU,WENTWORTH,
ENGEN,439766754,ULP95,MASERU,WENTWORTH,
ENGEN,439766755,ULP95,MASERU,WENTWORTH,
ENGEN,439290899,ADO,MASERU,WENTWORTH,
ENGEN,439290882,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439290884,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439290911,IK,MASERU,WENTWORTH,
ENGEN,439290912,IK,MASERU,WENTWORTH,
ENGEN,439290915,IK,MASERU,WENTWORTH,
ENGEN,439766793,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439766794,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439766722,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439766795,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439766796,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439766799,ADO(CLP),MASERU,WENTWORTH,
ENGEN,439766780,ADO,MASERU,WENTWORTH,
ENGEN,439766781,ADO,MASERU,WENTWORTH,
ENGEN,439766783,ADO,MASERU,WENTWORTH,
ENGEN,439766784,ADO,MASERU,WENTWORTH,
ENGEN,439766786,ADO,MASERU,WENTWORTH,
ENGEN,439766788,ADO,MASERU,WENTWORTH,
ENGEN,439766789,ADO,MASERU,WENTWORTH,
ENGEN,439766791,ADO,MASERU,WENTWORTH,
ENGEN,439766792,ADO,MASERU,WENTWORTH,
ENGEN,439766756,ULP95,MASERU,WENTWORTH,
ENGEN,439766759,ULP95,MASERU,WENTWORTH,
ENGEN,439766760,ULP95,MASERU,WENTWORTH,
ENGEN,439766761,ULP95,MASERU,WENTWORTH,
ENGEN,439766763,ULP95,MASERU,WENTWORTH,
ENGEN,439766764,ULP95,MASERU,WENTWORTH,
ENGEN,439766765,ULP95,MASERU,WENTWORTH,
ENGEN,439766766,ULP95,MASERU,WENTWORTH,
ENGEN,439766768,ULP95,MASERU,WENTWORTH,
ENGEN,439766770,ULP95,MASERU,WENTWORTH,
ENGEN,439766771,ULP95,MASERU,WENTWORTH,
ENGEN,439766774,ULP95,MASERU,WENTWORTH,
ENGEN,439766775,ULP95,MASERU,WENTWORTH,
ENGEN,439766776,ULP95,MASERU,WENTWORTH,
ENGEN,439766777,ULP95,MASERU,WENTWORTH,
ENGEN,439766778,ULP95,MASERU,WENTWORTH,
ENGEN,439766779,ULP95,MASERU,WENTWORTH,
ENGEN,440048741,IK,MASERU,WENTWORTH,
ENGEN,440048742,IK,MASERU,WENTWORTH,
ENGEN,440048744,IK,MASERU,WENTWORTH,
ENGEN,440048745,IK,MASERU,WENTWORTH,
ENGEN,440048746,IK,MASERU,WENTWORTH,
ENGEN,440048747,IK,MASERU,WENTWORTH,
ENGEN,440048749,IK,MASERU,WENTWORTH,
ENGEN,440048750,IK,MASERU,WENTWORTH,
ENGEN,440048751,IK,MASERU,WENTWORTH,
ENGEN,440048743,IK,MASERU,WENTWORTH,
