puma_order_number,product,loading_point,status
2755711791,D50,TOTAL ENERGIES IVT,CANCELLED
2755711795,D50,TOTAL ENERGIES IVT,LOADED
2755711798,D50,TOTAL ENERGIES IVT,LOADED
2755711802,D50,TOTAL ENERGIES IVT,LOADED
2755711805,D50,TOTAL ENERGIES IVT,CANCELLED
2755711809,D50,TOTAL ENERGIES IVT,CANCELLED
2755711812,D50,TOTAL ENERGIES IVT,CANCELLED
2755711815,D50,TOTAL ENERGIES IVT,CANCELLED
2755711819,D50,TOTAL ENERGIES IVT,CANCELLED
2755711822,D50,TOTAL ENERGIES IVT,CANCELLED
2755711825,D50,TOTAL ENERGIES IVT,CANCELLED
2755711830,D50,TOTAL ENERGIES IVT,CANCELLED
2755711833,D50,TOTAL ENERGIES IVT,CANCELLED
2755711836,D50,TOTAL ENERGIES IVT,CANCELLED
2755711839,D50,TOTAL ENERGIES IVT,CANCELLED
2755711843,D50,TOTAL ENERGIES IVT,CANCELLED
2755711846,D50,TOTAL ENERGIES IVT,CANCELLED
2755711850,D50,TOTAL ENERGIES IVT,CANCELLED
2755685059,ULP95,TOTAL ENERGIES IVT,LOADED
2755727078,D50,TOTAL ENERGIES IVT,OPEN
2755727080,D50,TOTAL ENERGIES IVT,OPEN
2755727083,D50,TOTAL ENERGIES IVT,OPEN
2755727087,D50,TOTAL ENERGIES IVT,OPEN
2755727089,D50,TOTAL ENERGIES IVT,OPEN
2755727090,D50,TOTAL ENERGIES IVT,OPEN
2755727091,D50,TOTAL ENERGIES IVT,OPEN
2755727092,D50,TOTAL ENERGIES IVT,OPEN
2755727095,D50,TOTAL ENERGIES IVT,OPEN
2755727097,D50,TOTAL ENERGIES IVT,OPEN
2755727100,D50,TOTAL ENERGIES IVT,OPEN
2755727104,D50,TOTAL ENERGIES IVT,OPEN
2755727107,D50,TOTAL ENERGIES IVT,OPEN
2755727109,D50,TOTAL ENERGIES IVT,OPEN
2755727112,D50,TOTAL ENERGIES IVT,OPEN
2755727115,D50,TOTAL ENERGIES IVT,OPEN
2755727119,D50,TOTAL ENERGIES IVT,OPEN
2755727121,D50,TOTAL ENERGIES IVT,OPEN
2755727124,D50,TOTAL ENERGIES IVT,OPEN
2755727127,D50,TOTAL ENERGIES IVT,OPEN
2755742605,D50,TOTAL ENERGIES IVT,OPEN
2755742607,D50,TOTAL ENERGIES IVT,OPEN
2755742609,D50,TOTAL ENERGIES IVT,OPEN
2755742611,D50,TOTAL ENERGIES IVT,OPEN
2755742614,D50,TOTAL ENERGIES IVT,OPEN
2755742617,D50,TOTAL ENERGIES IVT,OPEN
2755742619,D50,TOTAL ENERGIES IVT,OPEN
2755742621,D50,TOTAL ENERGIES IVT,OPEN
2755742625,D50,TOTAL ENERGIES IVT,OPEN
2755742627,D50,TOTAL ENERGIES IVT,OPEN
2755742629,D50,TOTAL ENERGIES IVT,OPEN
2755742632,D50,TOTAL ENERGIES IVT,OPEN
2755742634,D50,TOTAL ENERGIES IVT,OPEN
2755742636,D50,TOTAL ENERGIES IVT,OPEN
2755742638,D50,TOTAL ENERGIES IVT,OPEN
2755742641,D50,TOTAL ENERGIES IVT,OPEN
2755742643,D50,TOTAL ENERGIES IVT,OPEN
2755742645,D50,TOTAL ENERGIES IVT,OPEN
2755742648,D50,TOTAL ENERGIES IVT,OPEN
2755742650,D50,TOTAL ENERGIES IVT,OPEN
2755742748,ULP95,TOTAL ENERGIES IVT,OPEN
2755742750,ULP95,TOTAL ENERGIES IVT,OPEN
