trailer_reg,customer,total_capacity,primary_product,cpt_1,cpt_2,cpt_3,cpt_4,cpt_5,cpt_6,cpt_7,cpt_8,cpt_9,total_ado,cpt_1_ado,cpt_2_ado,cpt_3_ado,cpt_4_ado,cpt_5_ado,cpt_6_ado,cpt_7_ado,cpt_8_ado,cpt_9_ado,total_ulp,cpt_1_ulp,cpt_2_ulp,cpt_3_ulp,cpt_4_ulp,cpt_5_ulp,cpt_6_ulp,cpt_7_ulp,cpt_8_ulp,cpt_9_ulp,total_ik,cpt_1_ik,cpt_2_ik,cpt_3_ik,cpt_4_ik,cpt_5_ik,cpt_6_ik,cpt_7_ik,cpt_8_ik,cpt_9_ik,box,top,manifold,transfer_line,number_seals
C443BBK,PUMA,39600,IK,5200,5200,5200,12000,12000,0,0,0,0,39600,5200,5200,5200,12000,12000,0,0,0,0,44500,5900,5900,5900,13400,13400,0,0,0,0,39600,5200,5200,5200,12000,12000,0,0,0,0,2,1,,,3
C074BBK,PUMA,39200,ADO,5200,5200,5200,11800,11800,0,0,0,0,39200,5200,5200,5200,11800,11800,0,0,0,0,40000,5500,5500,5000,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,3
HJC406FS,PUMA,38690,IK,11610,10830,10830,5420,0,0,0,0,0,38690,11610,10830,10830,5420,0,0,0,0,0,40000,11000,11000,12000,6000,0,0,0,0,0,38690,11610,10830,10830,5420,0,0,0,0,0,,,,,
C648BCF,PUMA,44000,ADO,7000,11500,12500,13000,0,0,0,0,0,44000,7000,11500,12500,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
HCS967FS,PUMA,40000,ADO,5500,10500,12000,12000,0,0,0,0,0,40000,5500,10500,12000,12000,0,0,0,0,0,40000,5000,11000,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
C121BBZ,PUMA,45000,ULP,8000,11500,12500,13000,0,0,0,0,0,44000,7000,11500,12500,13000,0,0,0,0,0,45000,8000,11500,12500,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
C936BBK,PUMA,39200,IK,5200,5200,5200,11800,11800,0,0,0,0,39200,5200,5200,5200,11800,11800,0,0,0,0,43800,5800,5800,5800,13200,13200,0,0,0,0,39200,5200,5200,5200,11800,11800,0,0,0,0,2,1,,,3
C693BBY,PUMA,45000,ULP,8000,11500,12500,13000,0,0,0,0,0,44000,7000,11500,12500,13000,0,0,0,0,0,45000,8000,11500,12500,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
C053BCB,PUMA,44000,ADO,7000,11500,12500,13000,0,0,0,0,0,44000,7000,11500,12500,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
HFF543FS,PUMA,40500,ADO,5000,11500,12000,12000,0,0,0,0,0,40500,5000,11500,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
C813BBK,PUMA,43800,ULP,5800,5800,5800,13200,13200,0,0,0,0,39200,5200,5200,5200,11800,11800,0,0,0,0,43800,5800,5800,5800,13200,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,3
FZG549FS,PUMA,32700,ADO,5000,5000,5000,5900,5900,5900,6000,0,0,32700,5000,5000,5000,5900,5900,5900,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
HKF998FS,PUMA,44000,ULP,6600,6600,6160,6160,6160,6160,6160,0,0,39000,5850,5850,5460,5460,5460,5460,5460,0,0,44000,6600,6600,6160,6160,6160,6160,6160,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
C388BBZ,PUMA,44000,ADO,7000,11500,12500,13000,0,0,0,0,0,44000,7000,11500,12500,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
HJD650FS,PUMA,44400,ULP,5600,11800,13500,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44400,5600,11800,13500,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,3
C810BBV,PUMA,38200,IK,3400,3400,3400,4000,4800,4800,4800,4800,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38200,3400,3400,3400,4000,4800,4800,4800,4800,4800,,,,,
HJD040FS,PUMA,43850,ULP,13100,12300,12300,6150,0,0,0,0,0,40000,11500,11500,11500,5500,0,0,0,0,0,43850,13100,12300,12300,6150,0,0,0,0,0,40000,11500,11500,11500,5500,0,0,0,0,0,,,,,
HJC408FS,PUMA,40500,IK,11500,11500,11500,6000,0,0,0,0,0,40500,11500,11500,11500,6000,0,0,0,0,0,43920,13170,12300,12300,6150,0,0,0,0,0,40500,11500,11500,11500,6000,0,0,0,0,0,,,,,
HRC942FS,PUMA,43870,ULP,13170,12300,12300,6100,0,0,0,0,0,40000,12000,11500,11500,5000,0,0,0,0,0,43870,13170,12300,12300,6100,0,0,0,0,0,40000,12000,11500,11500,5000,0,0,0,0,0,,,,,
