loading_point,offloading_point,base_weight,estimated_days,allowance_tier_zar,trip_type
TOTAL ENERGIES IVT,MAPUTSOE HIPPO TRANSPORT,2.5,2,250,LONG_HAUL
TOTAL ENERGIES IVT,PUMA DEPOT,2.5,2,250,LONG_HAUL
TOTAL ENERGIES IVT,ULTRA CITY,2.0,2,200,LONG_HAUL
TOTAL ENERGIES IVT,FOUNDA (MAPUTSOE / MAHLAKAPESE),2.5,2,250,LONG_HAUL
TOTAL ENERGIES IVT,CHINA GEO CAMP A / ULTRA CITY,2.5,2,250,LONG_HAUL
TOTAL ENERGIES IVT,AUTO PRIDE / DANKIE / LESOTHO NISSAN,2.5,2,250,LONG_HAUL
WENTWORTH,MASERU,3.0,3,300,LONG_HAUL
WENTWORTH,MAPUTSOE,3.0,3,300,LONG_HAUL
MASERU,MOHALE'S HOEK MOTORS,1.0,0.5,80,LOCAL_MULTI_DROP
MASERU,BETA GROUP FILLING STATION,1.0,0.5,80,LOCAL_MULTI_DROP
MASERU,BUS STOP SUPERMAKERT,1.0,0.5,80,LOCAL_MULTI_DROP
MASERU,MOKHOTLONG PETROLEUM,1.5,1,120,LOCAL_MOUNTAIN
DIRECT-MASERU,MOKHOTLONG PETROLEUM,1.5,1,120,LOCAL_MOUNTAIN
