truck_reg,truck_type,truck_vin,trailer_reg,dolly_reg,trailer_type,pto_avail,trailer_vin,driver,current_km,last_km_update,last_service_km,status,lat,lng,next_service_km
C241BBW,MERCEDES,,C388BBZ,C387BBZ,,,,,323605,2026-06-01,323605,,,,350000
C235BBW,MERCEDES,,C053BCB,C054BCB,,,,,313974,2026-06-16,311483,,,,350000
C245BBW,MERCEDES,,C648BCF,C649BCF,,,,,303951,2026-06-01,303951,,,,300000
HTD129FS,FAW,,HJD040FS,,,,,,591922,2026-06-18,587368,,,,600000
HTW038FS,DAF,,HKF998FS,,,,,,527148,2026-06-16,525674,,,,560000
C233BBW,MERCEDES,,C074BBK,,,,,,326706,2026-06-01,326706,,,,350000
C809BBV,SCANIA,,C810BBV,,,,,,846160,2026-06-18,842152,,,,850000
HSD379FS,DAF,,HJC406FS,,,,,,564991,2026-06-16,562734,,,,600000
HTD134FS,FAW,,HRC942FS,,,,,,594102,2026-06-16,590480,,,,600000
HPD564FS,FAW,,HRD136FS,,,,,,,,,,,,
JBH823FS,VOLVO,,HCS967FS,,,,,,321977,2026-06-16,320563,,,,360000
C155BBR,MERCEDES,,C693BBY,C538BBY,,,,,402564,2026/05/06,402564,,,,
HSD375FS,DAF,,HFF543FS,,,,,,523064,2026-06-16,520144,,,,560000
C243BBW,MERCEDES,,C121BBZ,C120BBZ,,,,,332214,2026-06-01,332214,,,,350000
HSD377FS,DAF,,FZG549FS,,,,,,559412,2026-06-16,554790,,,,560000
C894BBV,MERCEDES,,C443BBK,,,,,,326030,2026-06-18,322547,,,,370000
HSR127FS,FAW,,HJD650FS,,,,,,632794,2026-06-18,626174,,,,640000
HSR118FS,FAW,,HJF141FS,,,,,,462031,2026-06-16,440000,,,,480000
C317BBG,MERCEDES,,C313BBG,,,,,,570258,2026-06-07,568301,,,,560000
C221BBM,MERCEDES,,C813BBK,,,,,,710900,2026-06-01,710900,,,,720000
C065BBY,MERCEDES,,C936BBK,,,,,,227756,2026-06-18,222535,,,,250000
HRG694FS,MERCEDES,,HJC408FS,,,,,,784463,2026-06-16,781799,,,,800000
