registration,document,expiry_date,reminder,notes
HPK045FS,ENGEN DEKRA SLP,2026/01/17,ALMOST DUE,
HPK045FS,VOPAK DEKRA SLP,2026/01/17,ALMOST DUE,
HPK045FS,BRAKE TESTS,2026/01/08,ALMOST DUE,
HPK045FS,PRESSURE TESTS,2026/01/08,ALMOST DUE,
HPK045FS,COF / LICENSE DISC,2026/02/28,ALMOST DUE,
HPK045FS,CALIBRATION,2026/02/10,ALMOST DUE,
HPK045FS,FIRE PERMIT ETHEKWINI,2026/02/28,ALMOST DUE,
,,,,
HNM 453 FS,ENGEN DEKRA SLP,2026/01/24,ALMOST DUE,
HNM 453 FS,VOPAK DEKRA SLP,2026/01/24,ALMOST DUE,
HNM 453 FS,BRAKE TESTS,2025/12/25,EXPIRED,
HNM 453 FS,PRESSURE TESTS,2025/12/25,EXPIRED,
HNM 453 FS,COF / LICENSE DISC,2025/11/30,EXPIRED,
HNM 453 FS,CALIBRATION,2025/10/14,VALID,
HNM 453 FS,FIRE PERMIT ETHEKWINI,2026/03/31,VALID,
,,,,
HPK033FS,ENGEN DEKRA SLP,2026/01/17,ALMOST DUE,
HPK033FS,VOPAK DEKRA SLP,2026/01/17,ALMOST DUE,
HPK033FS,BRAKE TESTS,2026/01/08,ALMOST DUE,
HPK033FS,PRESSURE TESTS,2026/01/08,ALMOST DUE,
HPK033FS,COF / LICENSE DISC,2026/02/28,ALMOST DUE,
HPK033FS,CALIBRATION,2026/02/10,ALMOST DUE,
HPK033FS,FIRE PERMIT ETHEKWINI,2026/02/28,ALMOST DUE,
,,,,
HPJ588FS,ENGEN DEKRA SLP,2026/01/24,ALMOST DUE,
HPJ588FS,VOPAK DEKRA SLP,2026/01/24,ALMOST DUE,
HPJ588FS,BRAKE TESTS,2025/12/25,EXPIRED,
HPJ588FS,PRESSURE TESTS,2025/12/25,EXPIRED,
HPJ588FS,COF / LICENSE DISC,2025/11/30,EXPIRED,
HPJ588FS,CALIBRATION,2025/10/14,VALID,
HPJ588FS,FIRE PERMIT ETHEKWINI,2026/03/31,VALID,
,,,,
HRZ062FS,ENGEN DEKRA SLP,2026/01/17,ALMOST DUE,
HRZ062FS,VOPAK DEKRA SLP,2026/01/17,ALMOST DUE,
HRZ062FS,BRAKE TESTS,2026/01/08,ALMOST DUE,
HRZ062FS,PRESSURE TESTS,2026/01/08,ALMOST DUE,
HRZ062FS,COF / LICENSE DISC,2026/02/28,ALMOST DUE,
HRZ062FS,CALIBRATION,2026/02/10,ALMOST DUE,
HRZ062FS,FIRE PERMIT ETHEKWINI,2026/02/28,ALMOST DUE,
,,,,
JCZ590FS,ENGEN DEKRA SLP,2026/01/24,ALMOST DUE,
JCZ590FS,VOPAK DEKRA SLP,2026/01/24,ALMOST DUE,
JCZ590FS,BRAKE TESTS,2025/12/25,EXPIRED,
JCZ590FS,PRESSURE TESTS,2025/12/25,EXPIRED,
JCZ590FS,COF / LICENSE DISC,2025/11/30,EXPIRED,
JCZ590FS,CALIBRATION,2025/10/14,VALID,
JCZ590FS,FIRE PERMIT ETHEKWINI,2026/03/31,VALID,
,,,,
HNM454FS,ENGEN DEKRA SLP,2026/01/17,ALMOST DUE,
HNM454FS,VOPAK DEKRA SLP,2026/01/17,ALMOST DUE,
HNM454FS,BRAKE TESTS,2026/01/08,ALMOST DUE,
HNM454FS,PRESSURE TESTS,2026/01/08,ALMOST DUE,
HNM454FS,COF / LICENSE DISC,2026/02/28,ALMOST DUE,
HNM454FS,CALIBRATION,2026/02/10,ALMOST DUE,
HNM454FS,FIRE PERMIT ETHEKWINI,2026/02/28,ALMOST DUE,
,,,,
HNM457FS,ENGEN DEKRA SLP,2026/01/24,ALMOST DUE,
HNM457FS,VOPAK DEKRA SLP,2026/01/24,ALMOST DUE,
HNM457FS,BRAKE TESTS,2025/12/25,EXPIRED,
HNM457FS,PRESSURE TESTS,2025/12/25,EXPIRED,
HNM457FS,COF / LICENSE DISC,2025/11/30,EXPIRED,
HNM457FS,CALIBRATION,2025/10/14,VALID,
HNM457FS,FIRE PERMIT ETHEKWINI,2026/03/31,VALID,
,,,,
HNH910FS,ENGEN DEKRA SLP,2026/01/17,ALMOST DUE,
HNH910FS,VOPAK DEKRA SLP,2026/01/17,ALMOST DUE,
HNH910FS,BRAKE TESTS,2026/01/08,ALMOST DUE,
HNH910FS,PRESSURE TESTS,2026/01/08,ALMOST DUE,
HNH910FS,COF / LICENSE DISC,2026/02/28,ALMOST DUE,
HNH910FS,CALIBRATION,2026/02/10,ALMOST DUE,
HNH910FS,FIRE PERMIT ETHEKWINI,2026/02/28,ALMOST DUE,
,,,,
HMZ781FS,ENGEN DEKRA SLP,2026/01/24,ALMOST DUE,
HMZ781FS,VOPAK DEKRA SLP,2026/01/24,ALMOST DUE,
HMZ781FS,BRAKE TESTS,2025/12/25,EXPIRED,
HMZ781FS,PRESSURE TESTS,2025/12/25,EXPIRED,
HMZ781FS,COF / LICENSE DISC,2025/11/30,EXPIRED,
HMZ781FS,CALIBRATION,2025/10/14,VALID,
HMZ781FS,FIRE PERMIT ETHEKWINI,2026/03/31,VALID,
